Banovići;22773
Banja Luka;185042
Berkovići;2114
Bihać;56261
Bijeljina;107715
Bileća;10807
Bosanska Krupa;25545
Bosanski Petrovac;7328
Bosansko Grahovo;2449
Bratunac;20340
DB;83516
Breza;14168
Brod;16619
Bugojno;31470
Busovača;17910
Bužim;19340
Cazin;66149
Centar Sarajevo;55181
Čajniče;4895
Čapljina;26157
Čelić;10502
Čelinac;15548
Čitluk;18140
Derventa;27404
Doboj;71441
Doboj-Istok;10248
Doboj-Jug;4137
Dobretići;1629
Domaljevac-Šamac;4771
Donji Vakuf;13985
Donji Žabar;3809
Drvar;7036
Foča (FBIH);1933
Foča (RS);18288
Fojnica;12356
Gacko;8990
Glamoč;3860
Goražde;20897
Gornji Vakuf-Uskoplje;20933
Gračanica;45220
Mostar;105797
Gradačac;39340
Gradiška;51727
Grude;17308
Hadžići;23891
Han Pijesak;3530
Ilidža;66730
Ilijaš;19603
Istočna Ilidža;14763
Istočni Drvar;79
Istočni Mostar;257
Istočni Stari Grad;1131
Istočno Novo Sarajevo;10642
Jablanica;10111
Jajce;27258
Jezero;1144
Kakanj;37441
Kalesija;33053
Kalinovik;2029
Kiseljak;20722
Kladanj;12348
Ključ;16744
Kneževo;9793
Konjic;25148
Kostajnica;5977
Kotor Varoš;19710
Kozarska Dubica;21524
Kreševo;5273
Krupa na Uni;1597
Kupres (FBIH);5057
Kupres (RS);300
Laktaši;34966
Livno;34133
Lopare;15357
Lukavac;44520
Ljubinje;3511
Ljubuški;28184
Maglaj;23146
Milići;11441
Modriča;25720
Mrkonjić Grad;16671
Neum;4653
Nevesinje;12961
Novi Grad;27115
Novi Grad Sarajevo;118553
Novi Travnik;23832
Novo Goražde;3117
Novo Sarajevo;64814
Odžak;18821
Olovo;10175
Orašje;19861
Osmaci;6016
Oštra Luka;2786
Pale (FBIH);904
Pale (RS);20909
Pelagićevo;5220
Petrovac;361
Petrovo;6474
Posušje;20477
Prijedor;89397
Prnjavor;35956
Prozor-Rama;14280
Ravno;3219
Ribnik;6048
Rogatica;10723
Rudo;7963
Sanski Most;41475
Sapna;11178
Sokolac;12021
Srbac;17587
Srebrenica;13409
Srebrenik;39678
Stari Grad Sarajevo;36976
Stolac;14502
Šamac;17273
Šekovići;6761
Šipovo;10293
Široki Brijeg;28929
Teočak;7424
Teslić;38536
Tešanj;43063
Tomislavgrad;31592
Travnik;53482
Trebinje;29198
Trnovo (FBIH);1502
Trnovo (RS);2050
Tuzla;110979
Ugljevik;15710
Usora;6603
Vareš;8892
Velika Kladuša;40419
Visoko;39938
Višegrad;10668
Vitez;25836
Vlasenica;11467
Vogošća;26343
Vukosavlje;4667
Zavidovići;35988
Zenica;110663
Zvornik;58856
Žepče;30219
Živinice;57765;